uri,cls,label
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1992>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,残雪
<http://edukg.org/knowledge/3.0/instance/chinese#main-E656>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,常见歇后语
<http://edukg.org/knowledge/3.0/instance/chinese#main-E4455>,<http://www.w3.org/2002/07/owl#NamedIndividual>,“以”作介词
<http://edukg.org/knowledge/3.0/instance/chinese#main-E2228>,<http://www.w3.org/2002/07/owl#NamedIndividual>,比邻
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1007>,<http://edukg.org/knowledge/3.0/class/chinese#main-C17>,常见格言
<http://edukg.org/knowledge/3.0/instance/chinese#main-E7140>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,词的形象色彩
<http://edukg.org/knowledge/3.0/instance/chinese#main-E3239>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,《假面舞会》
<http://edukg.org/knowledge/3.0/instance/chinese#main-E64>,<http://edukg.org/knowledge/3.0/class/chinese#main-C1>,真实性
<http://edukg.org/knowledge/3.0/instance/chinese#main-E4270>,<http://edukg.org/knowledge/3.0/class/chinese#main-C29>,谐音联
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1781>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,飞湍（tuān）
<http://edukg.org/knowledge/3.0/instance/chinese#main-E3618>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,浮士德式的人物
<http://edukg.org/knowledge/3.0/instance/chinese#main-E574>,<http://www.w3.org/2002/07/owl#NamedIndividual>,句号用法补充规则
<http://edukg.org/knowledge/3.0/instance/chinese#main-E5352>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,吟鞭
<http://edukg.org/knowledge/3.0/instance/chinese#main-E3047>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,孔子
<http://edukg.org/knowledge/3.0/instance/chinese#main-E453>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,平调
<http://edukg.org/knowledge/3.0/instance/chinese#main-E4924>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,黎民
<http://edukg.org/knowledge/3.0/instance/chinese#main-E156>,<http://edukg.org/knowledge/3.0/class/chinese#main-C27>,不同的朋友关系之间的称谓
<http://edukg.org/knowledge/3.0/instance/chinese#main-E3314>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,及尔偕老，老使我怨
<http://edukg.org/knowledge/3.0/instance/chinese#main-E3887>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,偏旁与部首
<http://edukg.org/knowledge/3.0/instance/chinese#main-E739>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,《我心中的文学》
<http://edukg.org/knowledge/3.0/instance/chinese#main-E599>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,贾平凹
<http://edukg.org/knowledge/3.0/instance/chinese#main-E5100>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,伏惟
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1281>,<http://edukg.org/knowledge/3.0/class/chinese#main-C16>,常见成语
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1251>,<http://edukg.org/knowledge/3.0/class/chinese#main-C33>,使至塞
<http://edukg.org/knowledge/3.0/instance/chinese#main-E5772>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,比——比文题
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1181>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,奴隶
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1583>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,斧斤以时人山林
<http://edukg.org/knowledge/3.0/instance/chinese#main-E6749>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,奁（l ián）
<http://edukg.org/knowledge/3.0/instance/chinese#main-E7147>,<http://edukg.org/knowledge/3.0/class/chinese#main-C22>,地方
<http://edukg.org/knowledge/3.0/instance/chinese#main-E5647>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,吓（hè）
<http://edukg.org/knowledge/3.0/instance/chinese#main-E6791>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,每览昔人兴感之由
<http://edukg.org/knowledge/3.0/instance/chinese#main-E447>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,斯
<http://edukg.org/knowledge/3.0/instance/chinese#main-E753>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,小幺（yāo）儿
<http://edukg.org/knowledge/3.0/instance/chinese#main-E6105>,<http://edukg.org/knowledge/3.0/class/chinese#main-C33>,《诗经》
<http://edukg.org/knowledge/3.0/instance/chinese#main-E829>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,角
<http://edukg.org/knowledge/3.0/instance/chinese#main-E6023>,<http://edukg.org/knowledge/3.0/class/chinese#main-C28>,《蓬莱仙境》
<http://edukg.org/knowledge/3.0/instance/chinese#main-E634>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,表示否定的语气副词
<http://edukg.org/knowledge/3.0/instance/chinese#main-E2588>,<http://edukg.org/knowledge/3.0/class/chinese#main-C33>,马嵬（其二）
<http://edukg.org/knowledge/3.0/instance/chinese#main-E2774>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,姓＋之＋人名。
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1555>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,娟然
<http://edukg.org/knowledge/3.0/instance/chinese#main-E6898>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,纪年法
<http://edukg.org/knowledge/3.0/instance/chinese#main-E6133>,<http://edukg.org/knowledge/3.0/class/chinese#main-C24>,宗璞
<http://edukg.org/knowledge/3.0/instance/chinese#main-E111>,<http://www.w3.org/2002/07/owl#NamedIndividual>,拟声词句
<http://edukg.org/knowledge/3.0/instance/chinese#main-E3755>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,地界儿
<http://edukg.org/knowledge/3.0/instance/chinese#main-E2033>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,Gg
<http://edukg.org/knowledge/3.0/instance/chinese#main-E5178>,<http://edukg.org/knowledge/3.0/class/chinese#main-C1>,实用类文章阅读
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1785>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,白居易
<http://edukg.org/knowledge/3.0/instance/chinese#main-E3955>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,不能十一
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1010>,<http://edukg.org/knowledge/3.0/class/chinese#main-C28>,《樱桃园》
<http://edukg.org/knowledge/3.0/instance/chinese#main-E6239>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,豌豆公主
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1774>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,间接抒情
<http://edukg.org/knowledge/3.0/instance/chinese#main-E4190>,<http://www.w3.org/2002/07/owl#NamedIndividual>,《锦瑟》
<http://edukg.org/knowledge/3.0/instance/chinese#main-E855>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,民谚
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1826>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,以太
<http://edukg.org/knowledge/3.0/instance/chinese#main-E76>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,动词性短语
<http://edukg.org/knowledge/3.0/instance/chinese#main-E6114>,<http://edukg.org/knowledge/3.0/class/chinese#main-C24>,辛弃疾
<http://edukg.org/knowledge/3.0/instance/chinese#main-E3926>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,萧乾
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1977>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,三省
<http://edukg.org/knowledge/3.0/instance/chinese#main-E6908>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,名词＋补语
<http://edukg.org/knowledge/3.0/instance/chinese#main-E2830>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,《摩克多塔拉》
<http://edukg.org/knowledge/3.0/instance/chinese#main-E3987>,<http://edukg.org/knowledge/3.0/class/chinese#main-C27>,贱称
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1478>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,第二人称
<http://edukg.org/knowledge/3.0/instance/chinese#main-E4968>,<http://edukg.org/knowledge/3.0/class/chinese#main-C24>,艾青
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1085>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,不以物喜，不以己悲
<http://edukg.org/knowledge/3.0/instance/chinese#main-E325>,<http://www.w3.org/2002/07/owl#NamedIndividual>,熟语
<http://edukg.org/knowledge/3.0/instance/chinese#main-E493>,<http://edukg.org/knowledge/3.0/class/chinese#main-C24>,埃·巴·辛格
<http://edukg.org/knowledge/3.0/instance/chinese#main-E3384>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,黑马
<http://edukg.org/knowledge/3.0/instance/chinese#main-E2149>,<http://edukg.org/knowledge/3.0/class/chinese#main-C27>,干支纪月法
<http://edukg.org/knowledge/3.0/instance/chinese#main-E6645>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,文学传记
<http://edukg.org/knowledge/3.0/instance/chinese#main-E2736>,<http://edukg.org/knowledge/3.0/class/chinese#main-C14>,补语
<http://edukg.org/knowledge/3.0/instance/chinese#main-E4043>,<http://www.w3.org/2002/07/owl#NamedIndividual>,《南柯记》
<http://edukg.org/knowledge/3.0/instance/chinese#main-E794>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,亦然
<http://edukg.org/knowledge/3.0/instance/chinese#main-E3712>,<http://edukg.org/knowledge/3.0/class/chinese#main-C27>,北斗
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1260>,<http://edukg.org/knowledge/3.0/class/chinese#main-C24>,安娜·阿赫马托娃
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1024>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,张岱
<http://edukg.org/knowledge/3.0/instance/chinese#main-E6142>,<http://edukg.org/knowledge/3.0/category#main-I386>,识
<http://edukg.org/knowledge/3.0/instance/chinese#main-E7254>,<http://edukg.org/knowledge/3.0/class/chinese#main-C24>,周克芹
<http://edukg.org/knowledge/3.0/instance/chinese#main-E5976>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,主谓句
<http://edukg.org/knowledge/3.0/instance/chinese#main-E551>,<http://edukg.org/knowledge/3.0/class/chinese#main-C5>,比喻
<http://edukg.org/knowledge/3.0/instance/chinese#main-E6962>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,之
<http://edukg.org/knowledge/3.0/instance/chinese#main-E4312>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,为之奈何
<http://edukg.org/knowledge/3.0/instance/chinese#main-E1585>,<http://edukg.org/knowledge/3.0/class/chinese#main-C0>,回环和顶真
