uri,cls,label
<http://edukg.org/knowledge/3.0/instance/history#main-E6110>,<http://edukg.org/knowledge/3.0/class/history#main-C0>,哈姆斯沃思
<http://edukg.org/knowledge/3.0/instance/history#main-E16093>,<http://edukg.org/knowledge/3.0/class/history#main-C0>,丹尼尔斯
<http://edukg.org/knowledge/3.0/instance/history#main-E324>,<http://edukg.org/knowledge/3.0/class/history#main-C2>,文征
<http://edukg.org/knowledge/3.0/instance/history#main-E5628>,<http://edukg.org/knowledge/3.0/class/history#main-C60>,大炼钢铁
<http://edukg.org/knowledge/3.0/instance/history#main-E9890>,<http://edukg.org/knowledge/3.0/class/history#main-C0>,阿尔法罗·阿雷吉
<http://edukg.org/knowledge/3.0/instance/history#main-E16609>,<http://edukg.org/knowledge/3.0/class/history#main-C0>,颜师鲁
<http://edukg.org/knowledge/3.0/instance/history#main-E2839>,<http://www.w3.org/2002/07/owl#NamedIndividual>,焦德裕
<http://edukg.org/knowledge/3.0/instance/history#main-E15779>,<http://edukg.org/knowledge/3.0/class/history#main-C2>,托马斯·赫·穆勒
<http://edukg.org/knowledge/3.0/instance/history#main-E3252>,<http://www.w3.org/2002/07/owl#NamedIndividual>,张伯淳
<http://edukg.org/knowledge/3.0/instance/history#main-E4855>,<http://www.w3.org/2002/07/owl#NamedIndividual>,首陀罗
<http://edukg.org/knowledge/3.0/instance/history#main-E294>,<http://www.w3.org/2002/07/owl#NamedIndividual>,意大利法西斯
<http://edukg.org/knowledge/3.0/instance/history#main-E10342>,<http://edukg.org/knowledge/3.0/class/history#main-C2>,刘知信
<http://edukg.org/knowledge/3.0/instance/history#main-E14849>,<http://edukg.org/knowledge/3.0/class/history#main-C0>,全普庵撒里
<http://edukg.org/knowledge/3.0/instance/history#main-E9707>,<http://edukg.org/knowledge/3.0/class/history#main-C0>,袁珙
<http://edukg.org/knowledge/3.0/instance/history#main-E8404>,<http://edukg.org/knowledge/3.0/class/history#main-C0>,黄龙兵
<http://edukg.org/knowledge/3.0/instance/history#main-E2779>,<http://edukg.org/knowledge/3.0/class/history#main-C0>,李献甫
<http://edukg.org/knowledge/3.0/instance/history#main-E4379>,<http://edukg.org/knowledge/3.0/class/history#main-C0>,史弼
<http://edukg.org/knowledge/3.0/instance/history#main-E10749>,<http://edukg.org/knowledge/3.0/class/history#main-C60>,长征
<http://edukg.org/knowledge/3.0/instance/history#main-E6948>,<http://www.w3.org/2002/07/owl#NamedIndividual>,大公鼎
<http://edukg.org/knowledge/3.0/instance/history#main-E710>,<http://edukg.org/knowledge/3.0/class/history#main-C2>,郑廷鹄
<http://edukg.org/knowledge/3.0/instance/history#main-E1152>,<http://edukg.org/knowledge/3.0/class/history#main-C0>,波旁王朝复辟
<http://edukg.org/knowledge/3.0/instance/history#main-E9024>,<http://edukg.org/knowledge/3.0/class/history#main-C2>,康普顿
<http://edukg.org/knowledge/3.0/instance/history#main-E12671>,<http://edukg.org/knowledge/3.0/class/history#main-C2>,苗时中
<http://edukg.org/knowledge/3.0/instance/history#main-E2656>,<http://www.w3.org/2002/07/owl#NamedIndividual>,梁棋祥
<http://edukg.org/knowledge/3.0/instance/history#main-E14863>,<http://www.w3.org/2002/07/owl#NamedIndividual>,进士科
<http://edukg.org/knowledge/3.0/instance/history#main-E12988>,<http://edukg.org/knowledge/3.0/class/history#main-C0>,四门助教
<http://edukg.org/knowledge/3.0/instance/history#main-E2514>,<http://edukg.org/knowledge/3.0/class/history#main-C2>,王谦
<http://edukg.org/knowledge/3.0/instance/history#main-E4390>,<http://edukg.org/knowledge/3.0/class/history#main-C2>,类人猿
<http://edukg.org/knowledge/3.0/instance/history#main-E14634>,<http://edukg.org/knowledge/3.0/class/history#main-C0>,朱昌祚
<http://edukg.org/knowledge/3.0/instance/history#main-E5378>,<http://edukg.org/knowledge/3.0/class/history#main-C0>,阿契贝
<http://edukg.org/knowledge/3.0/instance/history#main-E2967>,<http://edukg.org/knowledge/3.0/class/history#main-C0>,阿布斯
<http://edukg.org/knowledge/3.0/instance/history#main-E11876>,<http://edukg.org/knowledge/3.0/class/history#main-C9>,隋朝
<http://edukg.org/knowledge/3.0/instance/history#main-E15198>,<http://edukg.org/knowledge/3.0/class/history#main-C2>,刘仁轨
<http://edukg.org/knowledge/3.0/instance/history#main-E16305>,<http://edukg.org/knowledge/3.0/class/history#main-C0>,浪漫主义美术
<http://edukg.org/knowledge/3.0/instance/history#main-E4952>,<http://edukg.org/knowledge/3.0/class/history#main-C0>,慕容俨
<http://edukg.org/knowledge/3.0/instance/history#main-E13322>,<http://www.w3.org/2002/07/owl#NamedIndividual>,韩思复
